essay_id	human	debate	baseline	ma	bleu1	bleu2	bleu4	rouge1	rouge2	rougeL	distinct1	distinct2	distinct4	bert
24	0.917	0.85	0.65	0.75	0.504	0.268	0.069	0.505	0.13	0.191	0.395	0.835	0.991	0.862
200	0.667	0.75	0.45	0.65	0.337	0.171	0.056	0.396	0.087	0.171	0.388	0.749	0.908	0.987
222	0.75	0.75	0.65	0.7	0.379	0.16	0.0	0.343	0.041	0.129	0.437	0.853	0.989	0.941
411	1.0	0.85	0.55	0.65	0.41	0.176	0.0	0.368	0.041	0.139	0.456	0.828	0.954	0.892
657	0.75	0.85	0.55	0.65	0.359	0.149	0.0	0.414	0.06	0.156	0.339	0.706	0.956	0.991
880	0.833	0.75	0.45	0.65	0.413	0.21	0.075	0.446	0.092	0.172	0.417	0.811	0.943	0.976
999	1.0	0.85	0.65	0.75	0.443	0.196	0.043	0.418	0.062	0.149	0.425	0.858	0.99	0.876
1042	0.667	0.85	0.65	0.7	0.367	0.181	0.048	0.464	0.091	0.18	0.414	0.878	0.985	0.948
1148	0.75	0.85	0.55	0.65	0.352	0.158	0.0	0.375	0.062	0.149	0.423	0.856	0.989	0.832
1167	0.833	0.75	0.55	0.7	0.439	0.196	0.036	0.443	0.08	0.147	0.427	0.853	0.994	0.761
1187	0.833	0.75	0.45	0.55	0.337	0.161	0.026	0.409	0.072	0.16	0.463	0.908	0.998	0.632
1216	0.75	0.85	0.65	0.75	0.345	0.195	0.082	0.451	0.12	0.201	0.496	0.894	0.984	0.945
1376	0.667	0.75	0.55	0.65	0.149	0.063	0.0	0.305	0.046	0.132	0.504	0.897	0.996	0.883
1402	0.75	0.75	0.45	0.65	0.193	0.075	0.013	0.354	0.048	0.138	0.498	0.917	1.0	0.978
1708	0.583	0.65	0.35	0.45	0.11	0.048	0.0	0.302	0.027	0.114	0.542	0.951	0.996	0.793
1725	0.75	0.75	0.55	0.65	0.42	0.24	0.108	0.46	0.151	0.219	0.391	0.792	0.947	0.945
